career_id,career,career_norm,n_examenes_presente
48,FISIOTERAPIA,FISIOTERAPIA,10
49,GEOCIENCIAS,GEOCIENCIAS,10
50,GEOGRAFIA,GEOGRAFIA,10
51,GEOGRAFIA APLICADA,GEOGRAFIA APLICADA,10
52,GEOHISTORIA,GEOHISTORIA,10
53,HISTORIA,HISTORIA,10
54,HISTORIA DEL ARTE,HISTORIA DEL ARTE,10
55,INFORMATICA,INFORMATICA,10
56,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA","ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",10
57,INGENIERIA AEROESPACIAL,INGENIERIA AEROESPACIAL,7
58,INGENIERIA AGRICOLA,INGENIERIA AGRICOLA,10
59,INGENIERIA AMBIENTAL,INGENIERIA AMBIENTAL,10
60,INGENIERIA CIVIL,INGENIERIA CIVIL,10
61,INGENIERIA DE MINAS Y METALURGIA,INGENIERIA DE MINAS Y METALURGIA,10
62,INGENIERIA ELECTRICA ELECTRONICA,INGENIERIA ELECTRICA ELECTRONICA,10
63,INGENIERIA EN ALIMENTOS,INGENIERIA EN ALIMENTOS,10
64,INGENIERIA EN COMPUTACION,INGENIERIA EN COMPUTACION,10
65,INGENIERIA EN ENERGIAS RENOVABLES,INGENIERIA EN ENERGIAS RENOVABLES,1
66,INGENIERIA EN TELECOMUNICACIONES,INGENIERIA EN TELECOMUNICACIONES,3
67,INGENIERIA GEOFISICA,INGENIERIA GEOFISICA,10
68,INGENIERIA GEOLOGICA,INGENIERIA GEOLOGICA,10
69,INGENIERIA GEOMATICA,INGENIERIA GEOMATICA,10
70,INGENIERIA INDUSTRIAL,INGENIERIA INDUSTRIAL,10
71,INGENIERIA MECANICA,INGENIERIA MECANICA,10
72,INGENIERIA MECANICA ELECTRICA,INGENIERIA MECANICA ELECTRICA,10
73,INGENIERIA PETROLERA,INGENIERIA PETROLERA,10
74,INGENIERIA QUIMICA,INGENIERIA QUIMICA,10
75,INGENIERIA QUIMICA METALURGICA,INGENIERIA QUIMICA METALURGICA,10
76,INSTRUMENTISTA,INSTRUMENTISTA,10
77,LENGUA Y LITERATURAS HISPANICAS,LENGUA Y LITERATURAS HISPANICAS,10
78,LENGUA Y LITERATURAS MODERNAS (LETRAS ALEMANAS),LENGUA Y LITERATURAS MODERNAS (LETRAS ALEMANAS),10
79,LENGUA Y LITERATURAS MODERNAS (LETRAS FRANCESAS),LENGUA Y LITERATURAS MODERNAS (LETRAS FRANCESAS),10
80,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),10
81,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),10
82,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),10
83,LETRAS CLASICAS,LETRAS CLASICAS,10
84,LINGÜISTICA APLICADA,LINGUISTICA APLICADA,10
85,LITERATURA DRAMATICA Y TEATRO,LITERATURA DRAMATICA Y TEATRO,10
86,LITERATURA INTERCULTURAL,LITERATURA INTERCULTURAL,10
87,MANEJO SUSTENTABLE DE ZONAS COSTERAS,MANEJO SUSTENTABLE DE ZONAS COSTERAS,10
88,MATEMATICAS,MATEMATICAS,10
89,MATEMATICAS APLICADAS,MATEMATICAS APLICADAS,10
90,MATEMATICAS APLICADAS Y COMPUTACION,MATEMATICAS APLICADAS Y COMPUTACION,10
91,MATEMATICAS PARA EL DESARROLLO,MATEMATICAS PARA EL DESARROLLO,2
92,MEDICINA VETERINARIA Y ZOOTECNIA,MEDICINA VETERINARIA Y ZOOTECNIA,10
93,MEDICO CIRUJANO,MEDICO CIRUJANO,10
94,MUSICA Y TECNOLOGIA ARTISTICA,MUSICA Y TECNOLOGIA ARTISTICA,10
95,NUTRIOLOGIA,NUTRIOLOGIA,10
96,ODONTOLOGIA,ODONTOLOGIA,10
97,OPTOMETRIA,OPTOMETRIA,10
98,ORTESIS Y PROTESIS,ORTESIS Y PROTESIS,2
99,PEDAGOGIA,PEDAGOGIA,10
100,PIANO,PIANO,10
101,PLANIF PARA EL DESARROLLO AGROPECUARIO,PLANIF PARA EL DESARROLLO AGROPECUARIO,10
102,PSICOLOGIA,PSICOLOGIA,10
103,QUIMICA,QUIMICA,10
104,QUIMICA DE ALIMENTOS,QUIMICA DE ALIMENTOS,10
105,QUIMICA FARMACEUTICO BIOLOGICA,QUIMICA FARMACEUTICO BIOLOGICA,10
106,QUIMICA INDUSTRIAL,QUIMICA INDUSTRIAL,10
107,RELACIONES INTERNACIONALES,RELACIONES INTERNACIONALES,10
108,SOCIOLOGIA,SOCIOLOGIA,10
109,SOCIOLOGIA APLICADA,SOCIOLOGIA APLICADA,3
110,TEATRO Y ACTUACION,TEATRO Y ACTUACION,8
111,TECNOLOGIA,TECNOLOGIA,2
112,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,10
113,TRABAJO SOCIAL,TRABAJO SOCIAL,10
114,TRADUCCION,TRADUCCION,10
115,TURISMO Y DESARROLLO SOSTENIBLE,TURISMO Y DESARROLLO SOSTENIBLE,5
116,URBANISMO,URBANISMO,10
